book_name,rating
Everything Changes (Creek Canyon Book 3),4.7 out of 5 stars
"Invent and Wander: The Collected Writings of Jeff Bezos, With an Introduction by Walter Isaacson",4.3 out of 5 stars
Dark Highway (Jessica Shaw Book 3),4.5 out of 5 stars
Out of Her Mind (Sawyer Brooks Book 2),4.6 out of 5 stars
The German Nurse: A heartbreaking and unforgettable world war 2 historical fiction novel you need to read in 2021,4.0 out of 5 stars
The Forgotten Orphan: The heartbreaking and gripping World War 2 historical novel,4.5 out of 5 stars
"The Little Swiss Ski Chalet: The most heartwarming and feelgood cosy romance read of 2021! (Romantic Escapes, Book 7)",4.6 out of 5 stars
Time to Hunt (Pierce Hunt Book 3),4.5 out of 5 stars
The Last Resort,3.9 out of 5 stars
Beneath a Starless Sky: A gripping and utterly heartbreaking WW2 historical fiction novel,4.4 out of 5 stars
Smoke Screen (Alexander Blix),4.3 out of 5 stars
The Open House: From the USA Today bestseller comes a new and gripping crime thriller to escape with this year,3.8 out of 5 stars
Rent a Boyfriend,4.4 out of 5 stars
The Push,4.0 out of 5 stars
"Mr Right Across the Street: The perfect escape for lockdown and from one flat to another share in the most feel good romantic comedy of 2021! (The Kathryn Freeman Romcom Collection, Book 4)",3.8 out of 5 stars
Rescue Me: An uplifting romantic comedy perfect for dog-lovers,4.6 out of 5 stars
The Fifth Phrase: The Next Ho’oponopono and Zero Limits Healing Stage,4.5 out of 5 stars
The Secret Agent: An emotional and totally gripping WW2 historical novel,4.3 out of 5 stars
"Murder on the Menu: The first in a gripping new cozy mystery series (A Nosey Parker Cozy Mystery, Book 1)",4.6 out of 5 stars
Hazel and Gray (Faraway collection),3.7 out of 5 stars
"Jew(ish): A primer, A memoir, A manual, A plea",3.8 out of 5 stars
Deity (Six Stories Series),4.6 out of 5 stars
On the Wings of Hope,4.6 out of 5 stars
The YOU Code: Your New Life Map Hidden in Your Ancient Genes,4.3 out of 5 stars
The Well of Ice (An Inishowen Mystery Book 3),4.3 out of 5 stars
"The Runes of Destiny: An epic, romantic timeslip adventure",4.5 out of 5 stars
Shallow Ground (Detective Ford Book 1),4.5 out of 5 stars
Loss Lake: A Novel,3.5 out of 5 stars
Sleepless: An unputdownable dystopian psychological thriller for fans of The One and Black Mirror,4.2 out of 5 stars
Laugh-Out-Loud Valentine's Day Jokes for Kids (Laugh-Out-Loud Jokes for Kids),4.5 out of 5 stars
"Leave It to Fate: Another brilliantly funny, uplifting romcom from the author of WHERE THERE’S A WILL",4.8 out of 5 stars
The Rescue Rabbits,5.0 out of 5 stars
